created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-04-16T12:28:25+05:30,71,32.599998474121094,46.20000076293945,37,,,,
2022-04-16T12:28:43+05:30,72,32.599998474121094,46.20000076293945,37,,,,
2022-04-16T12:29:01+05:30,73,32.5,46.0,37,,,,
2022-04-16T12:29:21+05:30,74,32.599998474121094,46.099998474121094,36,,,,
2022-04-16T12:29:38+05:30,75,32.599998474121094,46.20000076293945,36,,,,
2022-04-16T12:29:56+05:30,76,32.5,46.29999923706055,36,,,,
2022-04-16T12:30:13+05:30,77,32.599998474121094,46.099998474121094,35,,,,
2022-04-16T12:30:30+05:30,78,32.599998474121094,46.20000076293945,35,,,,
2022-04-16T12:30:47+05:30,79,32.5,46.20000076293945,35,,,,
2022-04-16T12:31:02+05:30,80,32.599998474121094,46.29999923706055,35,,,,
2022-04-16T12:31:19+05:30,81,32.5,46.29999923706055,34,,,,
2022-04-16T12:31:36+05:30,82,32.5,46.099998474121094,34,,,,
2022-04-16T12:31:53+05:30,83,32.5,45.900001525878906,34,,,,
2022-04-16T12:32:10+05:30,84,32.599998474121094,46.099998474121094,34,,,,
2022-04-16T12:32:26+05:30,85,32.599998474121094,46.099998474121094,34,,,,
2022-04-16T12:32:44+05:30,86,32.5,46.0,34,,,,
2022-04-16T12:33:00+05:30,87,32.5,45.79999923706055,34,,,,
2022-04-16T12:33:18+05:30,88,32.5,46.0,34,,,,
2022-04-16T12:33:36+05:30,89,32.5,45.900001525878906,34,,,,
2022-04-16T12:33:51+05:30,90,32.5,45.900001525878906,34,,,,
2022-04-16T12:34:09+05:30,91,32.5,46.400001525878906,34,,,,
2022-04-16T12:34:25+05:30,92,32.599998474121094,46.099998474121094,34,,,,
2022-04-16T12:34:43+05:30,93,32.5,46.20000076293945,34,,,,
2022-04-16T12:35:00+05:30,94,32.599998474121094,46.20000076293945,34,,,,
2022-04-16T12:35:17+05:30,95,32.5,46.0,34,,,,
2022-04-16T12:35:33+05:30,96,32.599998474121094,45.900001525878906,34,,,,
2022-04-16T12:35:48+05:30,97,32.599998474121094,45.599998474121094,34,,,,
2022-04-16T12:36:06+05:30,98,32.5,45.900001525878906,34,,,,
2022-04-16T12:36:21+05:30,99,32.599998474121094,45.79999923706055,34,,,,
2022-04-16T12:36:39+05:30,100,32.599998474121094,45.70000076293945,34,,,,
2022-04-16T12:36:56+05:30,101,32.70000076293945,46.0,34,,,,
2022-04-16T12:37:13+05:30,102,32.599998474121094,45.70000076293945,34,,,,
2022-04-16T12:37:31+05:30,103,32.599998474121094,45.5,34,,,,
2022-04-16T12:37:47+05:30,104,32.599998474121094,45.70000076293945,34,,,,
2022-04-16T12:38:02+05:30,105,32.599998474121094,45.900001525878906,34,,,,
